nom1;nom2;nom3;nom4;code_postal;longitude;latitude
remaugies;REMAUGIES;remaugies;Remaugies;80500;2.66667;49.6167
estrees-sur-noye;ESTREES-SUR-NOYE;estrees sur noye;Estrées-sur-Noye;80250;2.33333;49.7833
sailly-le-sec;SAILLY-LE-SEC;sailly le sec;Sailly-le-Sec;80800;2.58333;49.9167
beaufort-en-santerre;BEAUFORT-EN-SANTERRE;beaufort en santerre;Beaufort-en-Santerre;80170;2.66667;49.7667
rouy-le-grand;ROUY-LE-GRAND;rouy le grand;Rouy-le-Grand;80190;2.95;49.7833
fricamps;FRICAMPS;fricamps;Fricamps;80290;2;49.8167
thory-80;THORY;thory;Thory;80250;2.43333;49.7167
grebault-mesnil;GREBAULT-MESNIL;grebault mesnil;Grébault-Mesnil;80140;1.71667;50.0333
rollot;ROLLOT;rollot;Rollot;80500;2.65;49.5833
maisnieres;MAISNIERES;maisnieres;Maisnières;80220;1.61667;50.0167
jumel;JUMEL;jumel;Jumel;80250;2.35;49.75
roiglise;ROIGLISE;roiglise;Roiglise;80700;2.83333;49.6833
villers-tournelle;VILLERS-TOURNELLE;villers tournelle;Villers-Tournelle;80500;2.46667;49.65
courtemanche;COURTEMANCHE;courtemanche;Courtemanche;80500;2.53333;49.6667
marestmontiers;MARESTMONTIERS;marestmontiers;Marestmontiers;80500;2.53;49.6867
sourdon;SOURDON;sourdon;Sourdon;80250;2.4;49.7
aubigny-80;AUBIGNY;aubigny;Aubigny;80800;2.48333;49.9
abbeville;ABBEVILLE;abbeville;Abbeville;80132;1.83333;50.1
clery-sur-somme;CLERY-SUR-SOMME;clery sur somme;Cléry-sur-Somme;80200;2.88333;49.95
bettencourt-riviere;BETTENCOURT-RIVIERE;bettencourt riviere;Bettencourt-Rivière;80270;1.96667;49.9833
bayencourt;BAYENCOURT;bayencourt;Bayencourt;80560;2.58333;50.1167
cerisy-buleux;CERISY-BULEUX;cerisy buleux;Cerisy-Buleux;80140;1.73333;49.9833
cachy;CACHY;cachy;Cachy;80380;2.48333;49.85
etelfay;ETELFAY;etelfay;Ételfay;80500;2.61667;49.6667
boussicourt;BOUSSICOURT;boussicourt;Boussicourt;80500;2.58333;49.7
franqueville-80;FRANQUEVILLE;franqueville;Franqueville;80620;2.08333;50.0833
berteaucourt-les-thennes;BERTEAUCOURT-LES-THENNES;berteaucourt les thennes;Berteaucourt-lès-Thennes;80110;2.46667;49.8167
bonneville-80;BONNEVILLE;bonneville;Bonneville;80670;2.25;50.0833
